train_loss,train_acc,val_loss,val_acc
0.4832825022084372,0.7254901960784313,0.8571628034114838,0.5454545454545454
0.4472659741129194,0.8235294117647058,1.1132358014583588,0.5454545454545454
0.2615009088601385,0.9313725490196079,1.3485743999481201,0.5454545454545454
0.2170175803559167,0.9411764705882353,1.7633558213710785,0.5454545454545454
0.10810722410678864,0.9705882352941176,1.4676103293895721,0.5454545454545454
0.09977001696825027,0.9607843137254902,0.7749643176794052,0.7272727272727273
0.09084819017776422,0.9705882352941176,0.5141190104186535,0.8181818181818182
0.07846069508897406,0.9705882352941176,0.2592781940475106,0.6363636363636364
0.08718789515218564,0.9705882352941176,0.14359439979307353,0.8181818181818182
0.1552568992732891,0.9509803921568627,0.041317143448395655,1.0
0.10181065386028162,0.9509803921568627,0.03387571714119986,1.0
0.13610408574874913,0.9117647058823529,0.18096547814548103,0.9090909090909091
0.5638962906918356,0.9215686274509803,0.28385527859609283,0.8181818181818182
0.04738095964837287,0.9901960784313726,0.18852447695098817,0.8181818181818182
0.12768834024401648,0.9607843137254902,0.20353625062853098,0.8181818181818182
