train_loss,train_acc,val_loss,val_acc
0.7987967133522034,0.5982142857142857,0.5827244073152542,0.6666666666666666
0.7286487306867327,0.6428571428571429,0.8324203491210938,0.3333333333333333
0.5773819088935852,0.75,0.9820011258125305,0.3333333333333333
0.567781639950616,0.7589285714285714,0.7530143558979034,0.6666666666666666
0.3209896300520216,0.8571428571428571,0.6348201334476471,0.5
0.32044970776353565,0.8571428571428571,0.5694222748279572,0.5833333333333334
0.27312455645629335,0.8660714285714286,0.5098048001527786,0.6666666666666666
0.21477880435330526,0.8928571428571429,0.5694066435098648,0.5833333333333334
0.2446884395820754,0.8660714285714286,0.5211214274168015,0.6666666666666666
0.22233834490180016,0.9107142857142857,0.6066935956478119,0.6666666666666666
0.2704169196741922,0.875,0.5450273081660271,0.6666666666666666
0.2138674408197403,0.9017857142857143,0.5829842481762171,0.8333333333333334
