scenario,feature,importance_mean,importance_std
combined_all,rms_max,0.020954009112806316,0.006562823105897809
combined_all,spectral_bandwidth_max,0.019704433497537033,0.0
combined_all,mfcc_01_std,0.019320653898669927,0.002906526435043853
combined_all,chroma_06_min,0.017373472599212257,0.005035313671376404
combined_all,mfcc_delta2_03_min,0.015359301795146284,0.0026461371453119693
combined_all,mfcc_delta2_07_mean,0.014944708334866063,0.004295519556303534
combined_all,mfcc_08_min,0.01362496371571571,0.0050432714549946715
combined_all,spectral_bandwidth_std,0.013273141357685059,0.0031554183929832233
combined_all,mfcc_01_median,0.013086423707439575,0.0038877591854914427
combined_all,mfcc_01_min,0.012521465196040128,0.004607238675758404
combined_all,mfcc_05_min,0.011878442642602339,0.004505112557749504
combined_all,zcr_mean,0.011845028440634819,0.004515414197255059
combined_all,mfcc_delta_07_std,0.011569839433763319,0.004863993360896634
combined_all,mfcc_08_mean,0.010891615096021424,0.006533850554111758
combined_all,mfcc_delta_07_mean,0.01077594582532393,0.005220919844744294
combined_all,spectral_contrast_04_mean,0.010751247906203808,0.002646804725030108
combined_all,spectral_contrast_04_std,0.010697289853996216,0.0029297476605980974
combined_all,mfcc_09_mean,0.010688282225370516,0.004139177023830982
combined_all,chroma_09_min,0.010567762849462824,0.005301334881546549
combined_all,mfcc_06_min,0.010519985959059919,0.0037709939244754357
combined_all,mfcc_07_mean,0.010391392789745879,0.0
combined_all,mfcc_delta2_07_max,0.010391392789745879,0.0
combined_all,chroma_06_max,0.01033720826681599,0.0022165793685621034
combined_all,spectral_bandwidth_mean,0.009869251023330439,0.001566425299246321
combined_all,mfcc_08_max,0.00984006049854771,0.0015494978479196452
combined_all,mfcc_delta_03_std,0.009778446461504987,0.002483105226965928
combined_all,chroma_06_std,0.009765000291237646,0.004340733154082218
combined_all,mfcc_06_median,0.009591681920876094,0.005428382579284528
combined_all,signal_mean,0.00953450513931402,0.003106567261481397
combined_all,chroma_03_min,0.009323561215907827,0.0
combined_all,mfcc_delta2_11_median,0.009293191652817268,0.0020677683206476076
combined_all,mfcc_delta2_02_max,0.009133136854405444,0.005683662378521938
combined_all,mfcc_delta_13_mean,0.009072663884630284,0.0036184098793692995
combined_all,mfcc_delta2_02_min,0.008859668341684968,0.0013916786226685796
combined_all,mfcc_02_mean,0.008859668341684968,0.0013916786226685796
combined_all,duration_sec,0.008859668341684968,0.0013916786226685796
combined_all,mfcc_07_max,0.008830111744355851,0.0033296885966616224
combined_all,mfcc_delta_10_min,0.008824967490499557,0.0023927541680967067
combined_all,mfcc_02_std,0.008553853837582226,0.003657703152052344
combined_all,mfcc_07_median,0.008302825724084117,0.0025579618022266225
combined_all,spectral_contrast_06_mean,0.008302825724084117,0.0025579618022266225
combined_all,chroma_07_max,0.008302825724084117,0.002557961802226623
combined_all,spectral_flatness_max,0.008302825724084117,0.002557961802226623
combined_all,mfcc_08_median,0.008249861044935192,0.003227290184056064
combined_all,spectral_centroid_min,0.00807603781630405,0.005687458378813586
combined_all,mfcc_13_max,0.00798448900165627,0.003079361077380241
combined_all,spectral_contrast_07_mean,0.007980244332212472,0.002990266618725041
combined_all,mfcc_02_min,0.007931882593239247,0.0021258242104768843
combined_all,chroma_09_std,0.00790923040401057,0.00510103012438852
combined_all,mfcc_delta_03_min,0.007674861499196784,0.0032153524471562516
combined_all,mfcc_10_max,0.007631702798948958,0.0033509189763197555
combined_all,hnr_db,0.007522169576872106,0.0046020012892782685
combined_all,mfcc_delta2_08_mean,0.007293500784304008,0.006161035595630122
combined_all,spectral_contrast_01_min,0.007268830698965822,0.004159141172897181
combined_all,spectral_contrast_02_min,0.007263686445109529,0.0034526567165325374
