train_loss,train_acc,val_loss,val_acc
0.28706542934690205,0.5080789946140036,0.8972555831074714,0.5333333333333333
0.1834808424115181,0.644524236983842,0.4259997027926147,0.7333333333333333
0.16226315508995737,0.7360861759425493,0.48229035795666275,0.7733333333333333
0.11461520040673868,0.8061041292639138,0.36162803778424857,0.8466666666666667
0.11840568168887071,0.8348294434470377,0.359651704323187,0.88
0.08340942266264133,0.8886894075403949,0.42296426063403486,0.8266666666666667
0.08116517913128649,0.8779174147217235,0.4907057376112789,0.8
0.09473437030932733,0.8689407540394973,0.4739868715405464,0.82
0.06325715562062605,0.9048473967684022,0.3925223281607032,0.8533333333333334
0.06779032221862248,0.9138240574506283,0.3713303661206737,0.86
