train_loss,train_acc,val_loss,val_acc
0.678320301430566,0.5784313725490197,0.6999303102493286,0.5454545454545454
0.40553780112947735,0.8431372549019608,0.7318233251571655,0.2727272727272727
0.3061712980270386,0.9411764705882353,0.8347432911396027,0.5454545454545454
0.22699429946286337,0.9509803921568627,0.49632562696933746,0.8181818181818182
0.14876934752932616,0.9509803921568627,0.7344241514801979,0.45454545454545453
0.23423060615147864,0.9117647058823529,0.9678020672872663,0.45454545454545453
0.23927392411444867,0.9313725490196079,0.5030738804489374,0.7272727272727273
0.1318645075495754,0.9803921568627451,0.21731451526284218,0.8181818181818182
0.136319394223392,0.9215686274509803,0.41961955837905407,0.8181818181818182
0.13331080693751574,0.9509803921568627,0.6472061057575047,0.7272727272727273
0.05109217470245702,0.9901960784313726,0.5567403268069029,0.8181818181818182
0.08510896995929736,0.9901960784313726,0.6285651626531035,0.7272727272727273
0.16174796276858874,0.9509803921568627,0.5979548105970025,0.7272727272727273
