model,f1,accuracy,roc_auc,time_min
transfer_learning,0.758606041296861,0.7666666666666667,0.9208928571428571,1.1399221420288086
densenet,0.7280694501860273,0.74,0.9144642857142856,1.8065052390098573
cnn_baseline,0.6693831352574985,0.6933333333333334,0.8826785714285714,1.2153005123138427
