scenario,model,cv_best_score,cv_n_splits,val_patient_f1,val_patient_roc_auc,best_params
cross_mdvr_kcl_to_ipvs,logreg,1.0,5,0.0,,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__solver"": ""liblinear""}"
cross_mdvr_kcl_to_ipvs,svm,1.0,5,0.0,,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
cross_mdvr_kcl_to_ipvs,random_forest,1.0,5,0.0,,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
