scenario,feature,importance_mean,importance_std
cross_mdvr_kcl_to_ipvs,mfcc_delta_01_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_01_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_01_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_02_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_02_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_09_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_09_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_09_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_09_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_10_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_10_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_10_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_10_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_10_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_04_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_04_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_04_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_04_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_04_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_05_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_05_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_05_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_12_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_12_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_12_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_13_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_13_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_13_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_13_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_13_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_07_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_07_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_07_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_07_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_08_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_08_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_08_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_08_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_02_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_02_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_03_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_03_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_03_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_03_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_10_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_10_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_10_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_10_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_10_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_12_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_11_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_11_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_11_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_11_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_12_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_05_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_06_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_06_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_06_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_06_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_13_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_13_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_13_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_13_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_10_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_01_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_01_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_01_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_01_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,signal_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_02_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_09_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_09_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_09_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_09_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_09_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,shimmer_rel,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_03_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_03_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_03_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_03_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_11_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_04_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_04_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_04_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_04_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_05_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_05_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_12_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_12_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_12_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_12_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_06_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_06_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_06_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_06_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_07_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_07_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_07_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_07_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_07_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_08_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_08_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_08_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_08_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_02_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_02_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_02_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_09_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_09_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_09_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_11_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_10_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_10_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_10_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_10_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,spectral_rolloff_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_11_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_11_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_11_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_11_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_05_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_05_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_06_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_12_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_12_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_12_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_13_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_13_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_13_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_13_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_13_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_01_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_01_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_01_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_01_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_01_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_02_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_08_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_09_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_02_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_02_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_03_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_03_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_03_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_03_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_03_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_04_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_04_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_04_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_04_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_04_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_05_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_05_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,spectral_rolloff_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta2_12_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_05_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_06_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_06_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_06_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_06_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_06_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_07_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_07_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_07_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_07_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_07_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_08_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_08_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_08_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_02_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_02_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_11_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_12_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_12_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_12_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,pitch_hz_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,pitch_hz_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,spectral_rolloff_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,spectral_flatness_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,pitch_hz_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,pitch_range_hz,0.0,0.0
cross_mdvr_kcl_to_ipvs,jitter_abs,0.0,0.0
cross_mdvr_kcl_to_ipvs,jitter_rel,0.0,0.0
cross_mdvr_kcl_to_ipvs,shimmer_abs,0.0,0.0
cross_mdvr_kcl_to_ipvs,duration_sec,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_05_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_05_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_10_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,signal_abs_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,voiced_fraction,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_08_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,zcr_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,zcr_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,zcr_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,zcr_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,zcr_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,rms_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,rms_std,0.0,0.0
cross_mdvr_kcl_to_ipvs,rms_min,0.0,0.0
cross_mdvr_kcl_to_ipvs,rms_max,0.0,0.0
cross_mdvr_kcl_to_ipvs,rms_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_11_median,0.0,0.0
cross_mdvr_kcl_to_ipvs,chroma_12_mean,0.0,0.0
cross_mdvr_kcl_to_ipvs,mfcc_delta_08_mean,-0.00039876142498949105,0.003578505866418977
cross_mdvr_kcl_to_ipvs,mfcc_delta2_09_mean,-0.0006474068917507791,0.0019422206752523373
cross_mdvr_kcl_to_ipvs,mfcc_delta_13_mean,-0.0008679867670103203,0.005247191464136244
cross_mdvr_kcl_to_ipvs,mfcc_delta_07_mean,-0.0012793993336979615,0.0048695025209090055
cross_mdvr_kcl_to_ipvs,spectral_contrast_04_mean,-0.001934513450350539,0.004161109240123831
cross_mdvr_kcl_to_ipvs,spectral_contrast_02_min,-0.002059871805049207,0.002910226199933653
cross_mdvr_kcl_to_ipvs,mfcc_delta_05_mean,-0.0025896275670031165,0.0031716330815013457
cross_mdvr_kcl_to_ipvs,pitch_strength_mean,-0.0029350610165532532,0.00410079320672463
cross_mdvr_kcl_to_ipvs,mfcc_delta2_05_mean,-0.004112171599668579,0.004086835164842509
cross_mdvr_kcl_to_ipvs,mfcc_delta_01_mean,-0.0109529130867544,0.0029320917759263136
cross_mdvr_kcl_to_ipvs,signal_mean,-0.014269094437996599,0.004612710572983561
