train_loss,train_acc,val_loss,val_acc
0.9553655087947845,0.4803921568627451,0.6700603663921356,0.45454545454545453
0.707834814276014,0.7058823529411765,0.7072149738669395,0.45454545454545453
0.5767488266740527,0.6666666666666666,0.6501171439886093,0.45454545454545453
0.49569641266550335,0.7647058823529411,0.7217298522591591,0.45454545454545453
0.46508791404111044,0.7254901960784313,0.7498881816864014,0.45454545454545453
0.3356815959726061,0.8921568627450981,0.7303090468049049,0.45454545454545453
0.3366529622248241,0.8529411764705882,0.7571780011057854,0.5454545454545454
0.2878583999616759,0.8921568627450981,0.6150884367525578,0.6363636363636364
0.27507844247988295,0.9117647058823529,0.584658857434988,0.6363636363636364
0.22755805083683558,0.9117647058823529,0.4111044257879257,0.7272727272727273
0.20218783084835326,0.9117647058823529,0.45803019776940346,0.7272727272727273
0.14875241023089206,0.9411764705882353,0.43267738819122314,0.6363636363636364
0.16778097035629408,0.9215686274509803,0.31438336707651615,0.8181818181818182
0.13824690718735969,0.9313725490196079,0.5099812150001526,0.7272727272727273
0.1043804424947926,0.9705882352941176,0.3271314203739166,0.8181818181818182
