train_loss,train_acc,val_loss,val_acc
0.7130512510027204,0.46078431372549017,0.7544051110744476,0.45454545454545453
0.5022799287523542,0.7647058823529411,0.9403805434703827,0.5454545454545454
0.43831722012587954,0.8431372549019608,0.8438880145549774,0.5454545454545454
0.4138112834521702,0.7843137254901961,0.8715331852436066,0.5454545454545454
0.40235714827265057,0.8627450980392157,0.7429668307304382,0.6363636363636364
0.29866206858839306,0.8725490196078431,0.9803331196308136,0.6363636363636364
0.3445668773991721,0.8823529411764706,0.7727673053741455,0.6363636363636364
0.2216202105794634,0.9411764705882353,0.42980608344078064,0.6363636363636364
0.20073919157896722,0.9019607843137255,0.30914749950170517,0.8181818181818182
0.16378444326775415,0.9313725490196079,0.24010936729609966,0.8181818181818182
0.1743296134684767,0.9215686274509803,0.42662363685667515,0.8181818181818182
0.16981595967497146,0.9313725490196079,0.5965718112420291,0.8181818181818182
0.13746332856161253,0.9705882352941176,0.6932532134233043,0.7272727272727273
0.1755306510520833,0.9411764705882353,0.8132104885298759,0.7272727272727273
0.08449421317449637,0.9509803921568627,0.9031450056936592,0.7272727272727273
