scenario,feature,feature_group,healthy_n_patients,parkinson_n_patients,healthy_mean,healthy_std,healthy_median,healthy_q1,healthy_q3,parkinson_mean,parkinson_std,parkinson_median,parkinson_q1,parkinson_q3,mean_difference_pd_minus_healthy,median_difference_pd_minus_healthy,cohens_d,abs_cohens_d,p_value_mannwhitney,q_value_bh
combined_all,spectral_flatness_min,Spectral Descriptors,120,75,0.00011100148524873639,0.00022064517827576074,3.6955386804038426e-05,2.072920381124277e-06,9.04333750781744e-05,2.1405535665396472e-05,3.627242831338399e-05,2.212136905654916e-06,1.1174153087267769e-06,2.679707176866941e-05,-8.959594958333992e-05,-3.474324989838351e-05,-0.5128379846798974,0.5128379846798974,6.862500065233519e-06,0.002312662521983696
combined_all,rms_max,Energy / ZCR,120,75,0.20813576047802265,0.044876745992867575,0.206884816288948,0.1792764067649841,0.2373340018093586,0.2350038790472876,0.046268380885498776,0.2234282046556472,0.20493330806493754,0.25981361945854364,0.026868118569264937,0.01654338836669919,0.5916085301766938,0.5916085301766938,0.0002646775454060998,0.03159508325811986
combined_all,mfcc_12_mean,MFCC,120,75,1.210629118244484,8.15243755886163,2.2927562737574663,-3.44717418061325,4.472512403219472,5.165004323447204,6.430974224652756,4.761676889330484,0.3622887044682588,9.021614957847603,3.95437520520272,2.468920615573018,0.524522329359772,0.524522329359772,0.0002812618687666457,0.03159508325811986
combined_all,mfcc_12_median,MFCC,120,75,1.7470455081788145,8.181657704666408,3.46224582195282,-3.6418592305853963,5.020626425743103,5.699249218526226,6.514117411177973,5.4361958503723145,0.5009624399244785,9.380246639251709,3.952203710347411,1.9739500284194946,0.5210040724722359,0.5210040724722359,0.0007847781005982121,0.05649697940146947
combined_all,mfcc_delta2_04_median,Delta-Delta MFCC,120,75,0.032069414030341456,0.08245616438431345,0.0185108399018645,-0.0045341232325881,0.06528270966373381,-0.011736113489462355,0.08874766790194827,0.00043688799144661036,-0.041234221542254,0.028153242286225552,-0.04380552751980381,-0.01807395191041789,-0.5158230001238323,0.5158230001238323,0.0008382341157488053,0.05649697940146947
combined_all,spectral_centroid_mean,Spectral Descriptors,120,75,1362.9981887544245,319.5244814241092,1411.3882404454937,1075.8401398989877,1599.5707887366125,1213.8950103134928,260.78028812272123,1199.8698277800447,1022.1878483589389,1442.1216514689943,-149.10317844093174,-211.51841266544898,-0.4997239802754123,0.4997239802754123,0.001665228926096507,0.07399305180092211
combined_all,mfcc_07_median,MFCC,120,75,6.893144594540167,19.2664759075826,1.6695620417594907,-6.60153341293335,22.654570341110233,14.935905847119406,16.320947453989,15.53937005996704,2.781914710998535,29.292719841003418,8.04276125257924,13.869808018207548,0.4420664012222481,0.4420664012222481,0.0015642583747230113,0.07399305180092211
combined_all,mfcc_05_min,MFCC,120,75,-63.07406687738103,22.474210035409815,-62.965919494628906,-78.19734913110733,-47.79882081349691,-54.279904335372926,16.946313118840834,-54.20737457275391,-63.24809265136719,-42.18284606933594,8.794162542008102,8.758544921874993,0.42832759137316123,0.42832759137316123,0.0017565116154521568,0.07399305180092211
combined_all,spectral_contrast_06_max,Spectral Contrast,120,75,37.64189138164811,9.524072216906317,34.235932304755686,29.912140821524293,47.25739074975946,42.64875232156483,10.988361467514157,46.644525502315226,30.860336940793136,52.013474042747475,5.00686093991672,12.40859319755954,0.49520868136639906,0.49520868136639906,0.0026245064017004537,0.08040533248845935
combined_all,mfcc_02_max,MFCC,120,75,196.35996951639143,29.850050470766142,192.89649963378906,175.40242719650269,218.0994987487793,209.2023549818141,22.45963818064885,210.25003051757807,195.75064086914062,226.21697235107422,12.842385465422666,17.353530883789006,0.47120509552140166,0.47120509552140166,0.0021885386140012724,0.08040533248845935
