train_loss,train_acc,val_loss,val_acc
0.29085500070026943,0.5026929982046678,0.8132754489779472,0.5333333333333333
0.15296113272862774,0.696588868940754,0.5052052110433578,0.74
0.12265304869839123,0.8096947935368043,0.3792653953656554,0.8333333333333334
0.1002529150141137,0.8581687612208259,0.3265252223005518,0.86
0.07121109456888267,0.8833034111310593,0.5155006622895598,0.82
0.07732128212228417,0.9084380610412927,0.41516915410757066,0.86
0.05944565019038107,0.9281867145421903,0.3481861061416566,0.8533333333333334
0.09627710564195045,0.8833034111310593,0.4823295850306749,0.8333333333333334
0.07241844332643918,0.9174147217235189,0.28072346943372395,0.9
0.06637994386255741,0.9174147217235189,0.30408137578633615,0.8466666666666667
0.06260303173746382,0.933572710951526,0.3990811037365347,0.8666666666666667
0.056943988360996754,0.926391382405745,0.4488419456989504,0.84
0.04151119570513921,0.9533213644524237,0.4741673719079699,0.8466666666666667
0.049006810830906036,0.926391382405745,0.48585639396915214,0.8666666666666667
