scenario,model,cv_best_score,cv_n_splits,val_patient_f1,val_patient_roc_auc,best_params
cross_ipvs_to_mdvr_kcl,random_forest,0.980399061032864,5,0.625,0.6000000000000001,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
cross_ipvs_to_mdvr_kcl,svm,0.9972220882565711,5,0.625,0.4,"{""model__C"": 5.0, ""model__class_weight"": null, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
cross_ipvs_to_mdvr_kcl,logreg,0.9943462191589252,5,0.625,0.3666666666666667,"{""model__C"": 5.0, ""model__class_weight"": ""balanced"", ""model__solver"": ""liblinear""}"
